,heuristic,branches,time
0,rc,18,1.4091267585754395
1,rc,19,1.3870010375976562
2,rc,119,3.316246271133423
3,rc,19,1.3802719116210938
4,rc,15,1.4342145919799805
5,rc,54,2.032573699951172
6,rc,3,1.199033260345459
7,rc,54,1.8462035655975342
8,rc,23,1.5233407020568848
9,rc,21,1.586315393447876
10,rc,6,1.2936146259307861
11,rc,3,1.2077620029449463
12,rc,50,2.044475555419922
13,rc,24,1.6964221000671387
14,rc,18,1.6186084747314453
15,rc,4,1.1822175979614258
16,rc,17,1.390505075454712
17,rc,61,2.6721322536468506
18,rc,3,1.156320571899414
19,rc,17,1.4100401401519775
20,rc,13,1.5252139568328857
21,rc,6,1.2456378936767578
22,rc,62,1.9241571426391602
23,rc,3,1.193997859954834
24,rc,17,1.4032747745513916
25,rc,102,2.6998276710510254
26,rc,2,1.2072863578796387
27,rc,42,1.8844454288482666
28,rc,30,1.851327896118164
29,rc,39,1.6212198734283447
30,rc,85,2.4008588790893555
31,rc,88,3.245823860168457
32,rc,8,1.6184368133544922
33,rc,2,1.383500337600708
34,rc,12,1.712839126586914
35,rc,22,1.7415401935577393
36,rc,23,1.8604438304901123
37,rc,55,2.3472940921783447
38,rc,7,1.2550311088562012
39,rc,21,1.509321928024292
40,rc,33,1.6001532077789307
41,rc,7,1.2305214405059814
42,rc,17,1.4449834823608398
43,rc,42,2.215238332748413
44,rc,34,2.2521276473999023
45,rc,30,1.572258710861206
46,rc,51,1.7035160064697266
47,rc,41,2.032292604446411
48,rc,20,1.4897844791412354
49,rc,82,2.4110312461853027
50,rc,10,1.3037617206573486
51,rc,31,1.703294038772583
52,rc,63,2.1870622634887695
53,rc,10,1.3939964771270752
54,rc,6,1.5473699569702148
55,rc,23,1.8202261924743652
56,rc,12,1.7809076309204102
57,rc,10,1.4651851654052734
58,rc,7,1.4296536445617676
59,rc,30,1.8094923496246338
60,rc,20,1.709273338317871
61,rc,68,2.4315075874328613
62,rc,14,1.5013048648834229
63,rc,14,1.429931879043579
64,rc,5,1.2670280933380127
65,rc,32,1.7503011226654053
66,rc,8,1.3343656063079834
67,rc,2,1.3075315952301025
68,rc,30,1.92864990234375
69,rc,15,1.4040043354034424
70,rc,47,2.033034563064575
71,rc,78,2.525665044784546
72,rc,5,1.2939677238464355
73,rc,18,1.4492957592010498
74,rc,8,1.5392565727233887
75,rc,18,1.754211187362671
76,rc,32,2.3485186100006104
77,rc,11,1.8390235900878906
78,rc,8,1.1670289039611816
79,rc,18,1.4966816902160645
80,rc,22,1.4498968124389648
81,rc,7,1.2369661331176758
82,rc,17,1.393418550491333
83,rc,15,1.380542516708374
84,rc,2,1.2449984550476074
85,rc,20,1.5497515201568604
86,rc,7,1.3203208446502686
87,rc,33,1.7292311191558838
88,rc,9,1.1961374282836914
89,rc,21,1.4312031269073486
90,rc,9,1.2221920490264893
91,jw,18,1.5153112411499023
92,jw,19,1.6962838172912598
93,jw,119,3.5790371894836426
94,jw,19,1.378424882888794
95,jw,15,1.4287519454956055
96,jw,54,2.0204601287841797
97,jw,3,1.2645819187164307
98,jw,54,1.8760061264038086
99,jw,23,1.484464406967163
100,jw,21,1.5910379886627197
101,jw,6,1.282850980758667
102,jw,3,1.1750118732452393
103,jw,50,2.0131843090057373
104,jw,24,1.6807034015655518
105,jw,18,1.6190762519836426
106,jw,4,1.1549549102783203
107,jw,17,1.3969345092773438
108,jw,61,3.0844616889953613
109,jw,3,1.317253828048706
110,jw,17,1.4479706287384033
111,jw,13,1.5023443698883057
112,jw,6,1.219010353088379
113,jw,62,1.9127163887023926
114,jw,3,1.2036411762237549
115,jw,17,1.381563425064087
116,jw,102,2.7566442489624023
117,jw,2,1.226738452911377
118,jw,42,1.8280491828918457
119,jw,30,1.8684654235839844
120,jw,39,1.6361758708953857
121,jw,85,2.5059926509857178
122,jw,88,3.2299156188964844
123,jw,8,1.376190423965454
124,jw,2,1.1722419261932373
125,jw,12,1.4210326671600342
126,jw,22,1.5732626914978027
127,jw,23,1.8077092170715332
128,jw,55,2.334704875946045
129,jw,7,1.2277789115905762
130,jw,21,1.7008247375488281
131,jw,33,1.7821869850158691
132,jw,7,1.520007610321045
133,jw,17,1.6919114589691162
134,jw,42,1.8393101692199707
135,jw,34,1.799722671508789
136,jw,30,1.6872694492340088
137,jw,51,1.9467651844024658
138,jw,41,2.1809396743774414
139,jw,20,1.5621747970581055
140,jw,82,2.53265380859375
141,jw,10,1.3740766048431396
142,jw,31,1.7742490768432617
143,jw,63,2.420809745788574
144,jw,10,1.5926647186279297
145,jw,6,1.4830811023712158
146,jw,23,2.1026196479797363
147,jw,12,1.8429667949676514
148,jw,10,1.5878632068634033
149,jw,7,1.6326305866241455
150,jw,30,1.9268934726715088
151,jw,20,1.9161250591278076
152,jw,68,2.7211790084838867
153,jw,14,1.6652936935424805
154,jw,14,1.518697738647461
155,jw,5,1.3486077785491943
156,jw,32,1.7521724700927734
157,jw,8,1.3752353191375732
158,jw,2,1.3172085285186768
159,jw,30,1.9202768802642822
160,jw,15,1.4709827899932861
161,jw,47,2.083876609802246
162,jw,78,2.560561180114746
163,jw,5,1.2999966144561768
164,jw,18,1.4550940990447998
165,jw,8,1.4072434902191162
166,jw,18,1.5830016136169434
167,jw,32,2.368544816970825
168,jw,11,1.883319616317749
169,jw,8,1.6129703521728516
170,jw,18,1.9797132015228271
171,jw,22,1.7352774143218994
172,jw,7,1.3637073040008545
173,jw,17,1.6712555885314941
174,jw,15,1.62099027633667
175,jw,2,1.3760600090026855
176,jw,20,1.8886301517486572
177,jw,7,1.53548002243042
178,jw,33,1.9744668006896973
179,jw,9,1.376779317855835
180,jw,21,1.5466430187225342
181,jw,9,1.3470101356506348
182,random,18,1.634528636932373
183,random,19,1.6171667575836182
184,random,119,4.160023927688599
185,random,19,1.7265653610229492
186,random,15,1.6099646091461182
187,random,54,2.4337639808654785
188,random,3,1.2969653606414795
189,random,54,1.9907796382904053
190,random,23,1.610600233078003
191,random,21,1.742877721786499
192,random,6,1.3909895420074463
193,random,3,1.266998291015625
194,random,50,2.209484577178955
195,random,24,1.8336689472198486
196,random,18,1.7614340782165527
197,random,4,1.2881014347076416
198,random,17,1.4867665767669678
199,random,61,2.8628780841827393
200,random,3,1.2215991020202637
201,random,17,1.6379964351654053
202,random,13,1.598240613937378
203,random,6,1.3341190814971924
204,random,62,2.0610809326171875
205,random,3,1.2869999408721924
206,random,17,1.5058271884918213
207,random,102,2.8973193168640137
208,random,2,1.288240909576416
209,random,42,1.9807264804840088
210,random,30,1.983936071395874
211,random,39,1.7266690731048584
212,random,85,2.677485466003418
213,random,88,3.942458152770996
214,random,8,1.5222878456115723
215,random,2,1.240173578262329
216,random,12,1.5398228168487549
217,random,22,2.1573822498321533
218,random,23,2.274723529815674
219,random,55,2.8739426136016846
220,random,7,1.3865337371826172
221,random,21,1.6457767486572266
222,random,33,1.9760639667510986
223,random,7,1.3050334453582764
224,random,17,1.4566972255706787
225,random,42,2.0399487018585205
226,random,34,2.760087490081787
227,random,30,1.7114925384521484
228,random,51,1.7948782444000244
229,random,41,2.2871580123901367
230,random,20,1.6532561779022217
231,random,82,2.3446593284606934
232,random,10,1.3015670776367188
233,random,31,1.663297176361084
234,random,63,2.0338218212127686
235,random,10,1.2416412830352783
236,random,6,1.2275547981262207
237,random,23,1.450453758239746
238,random,12,1.4560003280639648
239,random,10,1.2942240238189697
240,random,7,1.317136287689209
241,random,30,1.6326265335083008
242,random,20,1.5767614841461182
243,random,68,2.2206954956054688
244,random,14,1.4212398529052734
245,random,14,1.3541812896728516
246,random,5,1.1870012283325195
247,random,32,1.6703531742095947
248,random,8,1.301194429397583
249,random,2,1.3188199996948242
250,random,30,1.7961156368255615
251,random,15,1.368079662322998
252,random,47,1.8867504596710205
253,random,78,2.354881525039673
254,random,5,1.2398247718811035
255,random,18,1.331932783126831
256,random,8,1.2980375289916992
257,random,18,1.45076322555542
258,random,32,1.8895642757415771
259,random,11,1.3785696029663086
260,random,8,1.1820416450500488
261,random,18,1.4387626647949219
262,random,22,1.4489338397979736
263,random,7,1.2084288597106934
264,random,17,1.3722267150878906
265,random,15,1.5124986171722412
266,random,2,1.1899645328521729
267,random,20,1.5646936893463135
268,random,7,1.326448678970337
269,random,33,1.7159249782562256
270,random,9,1.1899683475494385
271,random,21,1.4571216106414795
272,random,9,1.1980338096618652
