,heuristic,branches,time
0,rc,18,1.4938089847564697
1,rc,19,1.3389983177185059
2,rc,119,3.2377731800079346
3,rc,19,1.381446361541748
4,rc,15,1.4149975776672363
5,rc,54,1.9950716495513916
6,rc,3,1.165250301361084
7,rc,54,1.7923059463500977
8,rc,23,1.4506278038024902
9,rc,21,1.551264762878418
10,rc,6,1.2651786804199219
11,rc,3,1.142033576965332
12,rc,50,1.9797940254211426
13,rc,24,1.6553421020507812
14,rc,18,1.5611777305603027
15,rc,4,1.1579797267913818
16,rc,17,1.3298332691192627
17,rc,61,2.61006760597229
18,rc,3,1.1241323947906494
19,rc,17,1.346639633178711
20,rc,13,1.4056768417358398
21,rc,6,1.184260606765747
22,rc,62,1.8847720623016357
23,rc,3,1.16127347946167
24,rc,17,1.3909690380096436
25,rc,102,2.634535789489746
26,rc,2,1.1790003776550293
27,rc,42,1.7842862606048584
28,rc,30,1.9103057384490967
29,rc,39,1.5589604377746582
30,rc,85,2.3204431533813477
31,rc,88,3.1494150161743164
32,rc,8,1.3366446495056152
33,rc,2,1.1181316375732422
34,rc,12,1.3510348796844482
35,rc,22,1.532282829284668
36,rc,23,1.6614370346069336
37,rc,55,2.118860960006714
38,rc,7,1.179520845413208
39,rc,21,1.4296462535858154
40,rc,33,1.5057721138000488
41,rc,7,1.18398118019104
42,rc,17,1.3700578212738037
43,rc,42,1.601074457168579
44,rc,34,1.6348206996917725
45,rc,30,1.5008044242858887
46,rc,51,1.6532070636749268
47,rc,41,1.9751849174499512
48,rc,20,1.4100379943847656
49,rc,82,2.3082964420318604
50,rc,10,1.2714674472808838
51,rc,31,1.6293001174926758
52,rc,63,1.9794890880584717
53,rc,10,1.232001781463623
54,rc,6,1.273221731185913
55,rc,23,1.4162614345550537
56,rc,12,1.446213722229004
57,rc,10,1.2713675498962402
58,rc,7,1.2692477703094482
59,rc,30,1.604344367980957
60,rc,20,1.5469701290130615
61,rc,68,2.1672651767730713
62,rc,14,1.387946605682373
63,rc,14,1.3158187866210938
64,rc,5,1.1675784587860107
65,rc,32,1.5556426048278809
66,rc,8,1.275695562362671
67,rc,2,1.2760016918182373
68,rc,30,1.7248287200927734
69,rc,15,1.305558681488037
70,rc,47,1.8402414321899414
71,rc,78,2.292363166809082
72,rc,5,1.1909542083740234
73,rc,18,1.3059980869293213
